Date,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29
2022-08-24,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-25,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-26,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-29,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-30,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-08-31,0.014191182,0.044249523,0.06350148,0.031152392,0.03695188,0.02496382,0.03425446,0.011975498,0.017040338,0.08098223,0.08733462,0.014709916,0.013656995,0.01993961,0.010839595,0.011243712,0.013454659,0.046810508,0.020821286,0.054976672,0.013141879,0.029088398,0.012008192,0.03983465,0.12640531,0.07788066,0.011246617,0.011535482,0.013381419,0.012427112
2022-09-01,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
2022-09-02,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
2022-09-06,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
2022-09-07,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
2022-09-08,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
2022-09-09,0.0076294495,0.034401402,0.052467205,0.031077644,0.061045524,0.028892707,0.051900007,0.067238815,0.011605284,0.06681779,0.10553486,0.00973057,0.01046704,0.012275228,0.009001485,0.011041341,0.008620539,0.05708267,0.07425668,0.038703892,0.0148294335,0.0101761995,0.011799477,0.051302895,0.10242205,0.016416816,0.016378768,0.009421221,0.008091387,0.009371599
